sentid	sentence	English	Spanish
supervisor.someone.1.male.txt	The supervisor gave someone feedback on his stellar performance.	The supervisor gave someone feedback on his stellar performance.	El supervisor le dio a alguien retroalimentación sobre su desempeño estelar.
supervisor.someone.1.female.txt	The supervisor gave someone feedback on her stellar performance.	The supervisor gave someone feedback on her stellar performance.	El supervisor le dio a alguien retroalimentación sobre su desempeño estelar.
supervisor.someone.1.neutral.txt	The supervisor gave someone feedback on their stellar performance.	The supervisor gave someone feedback on their stellar performance.	El supervisor le dio a alguien retroalimentación sobre su desempeño estelar.
supervisor.employee.0.male.txt	The employee gave the supervisor feedback on his managing style.	The employee gave the supervisor feedback on his managing style.	El empleado le dio al supervisor comentarios sobre su estilo de gestión.
supervisor.employee.0.female.txt	The employee gave the supervisor feedback on her managing style.	The employee gave the supervisor feedback on her managing style.	El empleado le dio al supervisor comentarios sobre su estilo de gestión.
supervisor.employee.0.neutral.txt	The employee gave the supervisor feedback on their managing style.	The employee gave the supervisor feedback on their managing style.	El empleado le dio al supervisor comentarios sobre su estilo de gestión.
supervisor.someone.0.male.txt	Someone gave the supervisor feedback on his managing style.	Someone gave the supervisor feedback on his managing style.	Alguien le dio retroalimentación al supervisor sobre su estilo de gestión.
supervisor.someone.0.female.txt	Someone gave the supervisor feedback on her managing style.	Someone gave the supervisor feedback on her managing style.	Alguien le dio comentarios al supervisor sobre su estilo de gestión.
supervisor.someone.0.neutral.txt	Someone gave the supervisor feedback on their managing style.	Someone gave the supervisor feedback on their managing style.	Alguien le dio retroalimentación al supervisor sobre su estilo de gestión.
engineer.client.0.male.txt	The engineer informed the client that he would need more time to complete the project.	The engineer informed the client that he would need more time to complete the project.	El ingeniero informó al cliente que necesitaría más tiempo para completar el proyecto.
engineer.client.0.female.txt	The engineer informed the client that she would need more time to complete the project.	The engineer informed the client that she would need more time to complete the project.	El ingeniero informó al cliente que necesitaría más tiempo para completar el proyecto.
engineer.client.0.neutral.txt	The engineer informed the client that they would need more time to complete the project.	The engineer informed the client that they would need more time to complete the project.	El ingeniero informó al cliente que necesitarían más tiempo para completar el proyecto.
engineer.someone.0.male.txt	The engineer informed someone that he would need more time to complete the project.	The engineer informed someone that he would need more time to complete the project.	El ingeniero le informó a alguien que necesitaría más tiempo para completar el proyecto.
engineer.someone.0.female.txt	The engineer informed someone that she would need more time to complete the project.	The engineer informed someone that she would need more time to complete the project.	El ingeniero le informó a alguien que necesitaría más tiempo para completar el proyecto.
engineer.someone.0.neutral.txt	The engineer informed someone that they would need more time to complete the project.	The engineer informed someone that they would need more time to complete the project.	El ingeniero informó a alguien que necesitarían más tiempo para completar el proyecto.
engineer.client.1.male.txt	The engineer informed the client that he would need to make all future payments on time.	The engineer informed the client that he would need to make all future payments on time.	El ingeniero le informó al cliente que tendría que hacer todos los pagos futuros a tiempo.
engineer.client.1.female.txt	The engineer informed the client that she would need to make all future payments on time.	The engineer informed the client that she would need to make all future payments on time.	El ingeniero le informó al cliente que tendría que hacer todos los pagos futuros a tiempo.
engineer.client.1.neutral.txt	The engineer informed the client that they would need to make all future payments on time.	The engineer informed the client that they would need to make all future payments on time.	El ingeniero le informó al cliente que tendría que hacer todos los pagos futuros a tiempo.
engineer.someone.1.male.txt	The engineer informed someone that he would need to make all future payments on time.	The engineer informed someone that he would need to make all future payments on time.	El ingeniero le informó a alguien que tendría que hacer todos los pagos futuros a tiempo.
engineer.someone.1.female.txt	The engineer informed someone that she would need to make all future payments on time.	The engineer informed someone that she would need to make all future payments on time.	El ingeniero le informó a alguien que ella tendría que hacer todos los pagos futuros a tiempo.
engineer.someone.1.neutral.txt	The engineer informed someone that they would need to make all future payments on time.	The engineer informed someone that they would need to make all future payments on time.	El ingeniero le informó a alguien que necesitaría hacer todos los pagos futuros a tiempo.
worker.pedestrian.1.male.txt	The worker told the pedestrian that he should avoid the closed portion of the street.	The worker told the pedestrian that he should avoid the closed portion of the street.	El trabajador le dijo al peatón que debía evitar la parte cerrada de la calle.
worker.pedestrian.1.female.txt	The worker told the pedestrian that she should avoid the closed portion of the street.	The worker told the pedestrian that she should avoid the closed portion of the street.	El trabajador le dijo al peatón que debía evitar la parte cerrada de la calle.
worker.pedestrian.1.neutral.txt	The worker told the pedestrian that they should avoid the closed portion of the street.	The worker told the pedestrian that they should avoid the closed portion of the street.	El trabajador le dijo al peatón que deberían evitar la parte cerrada de la calle.
worker.someone.1.male.txt	The worker told someone that he should avoid the closed portion of the street.	The worker told someone that he should avoid the closed portion of the street.	El trabajador le dijo a alguien que debía evitar la parte cerrada de la calle.
worker.someone.1.female.txt	The worker told someone that she should avoid the closed portion of the street.	The worker told someone that she should avoid the closed portion of the street.	El trabajador le dijo a alguien que debía evitar la parte cerrada de la calle.
worker.someone.1.neutral.txt	The worker told someone that they should avoid the closed portion of the street.	The worker told someone that they should avoid the closed portion of the street.	El trabajador le dijo a alguien que debía evitar la parte cerrada de la calle.
worker.pedestrian.0.male.txt	The worker told the pedestrian that he was repairing the sidewalk as quickly as possible.	The worker told the pedestrian that he was repairing the sidewalk as quickly as possible.	El trabajador le dijo al peatón que estaba reparando la acera lo más rápido posible.
worker.pedestrian.0.female.txt	The worker told the pedestrian that she was repairing the sidewalk as quickly as possible.	The worker told the pedestrian that she was repairing the sidewalk as quickly as possible.	El trabajador le dijo al peatón que estaba reparando la acera lo más rápido posible.
worker.pedestrian.0.neutral.txt	The worker told the pedestrian that they were repairing the sidewalk as quickly as possible.	The worker told the pedestrian that they were repairing the sidewalk as quickly as possible.	El trabajador le dijo al peatón que estaban reparando la acera lo más rápido posible.
worker.someone.0.male.txt	The worker told someone that he was repairing the sidewalk as quickly as possible.	The worker told someone that he was repairing the sidewalk as quickly as possible.	El trabajador le dijo a alguien que estaba reparando la acera lo más rápido posible.
worker.someone.0.female.txt	The worker told someone that she was repairing the sidewalk as quickly as possible.	The worker told someone that she was repairing the sidewalk as quickly as possible.	El trabajador le dijo a alguien que estaba reparando la acera lo más rápido posible.
worker.someone.0.neutral.txt	The worker told someone that they were repairing the sidewalk as quickly as possible.	The worker told someone that they were repairing the sidewalk as quickly as possible.	El trabajador le dijo a alguien que estaban reparando la acera lo más rápido posible.
educator.student.1.male.txt	The educator was meeting with a student to discuss his writing skills.	The educator was meeting with a student to discuss his writing skills.	El educador se reunía con un estudiante para discutir sus habilidades de escritura.
educator.student.1.female.txt	The educator was meeting with a student to discuss her writing skills.	The educator was meeting with a student to discuss her writing skills.	El educador se estaba reuniendo con un estudiante para discutir sus habilidades de escritura.
educator.student.1.neutral.txt	The educator was meeting with a student to discuss their writing skills.	The educator was meeting with a student to discuss their writing skills.	El educador se estaba reuniendo con un estudiante para discutir sus habilidades de escritura.
educator.someone.1.male.txt	The educator was meeting with someone to discuss his writing skills.	The educator was meeting with someone to discuss his writing skills.	El educador se reunía con alguien para discutir sus habilidades de escritura.
educator.someone.1.female.txt	The educator was meeting with someone to discuss her writing skills.	The educator was meeting with someone to discuss her writing skills.	El educador se reunía con alguien para hablar sobre sus habilidades de escritura.
educator.someone.1.neutral.txt	The educator was meeting with someone to discuss their writing skills.	The educator was meeting with someone to discuss their writing skills.	El educador se reunía con alguien para discutir sus habilidades de escritura.
educator.student.0.male.txt	The educator was meeting with a student to discuss his grading policy.	The educator was meeting with a student to discuss his grading policy.	El educador se reunía con un estudiante para discutir su política de calificaciones.
educator.student.0.female.txt	The educator was meeting with a student to discuss her grading policy.	The educator was meeting with a student to discuss her grading policy.	El educador se estaba reuniendo con un estudiante para hablar sobre su política de calificaciones.
educator.student.0.neutral.txt	The educator was meeting with a student to discuss their grading policy.	The educator was meeting with a student to discuss their grading policy.	El educador se estaba reuniendo con un estudiante para discutir su política de calificaciones.
educator.someone.0.male.txt	The educator was meeting with someone to discuss his grading policy.	The educator was meeting with someone to discuss his grading policy.	El educador se reunía con alguien para hablar sobre su política de calificaciones.
educator.someone.0.female.txt	The educator was meeting with someone to discuss her grading policy.	The educator was meeting with someone to discuss her grading policy.	El educador se reunía con alguien para hablar sobre su política de calificaciones.
educator.someone.0.neutral.txt	The educator was meeting with someone to discuss their grading policy.	The educator was meeting with someone to discuss their grading policy.	El educador se reunía con alguien para discutir su política de calificaciones.
clerk.customer.1.male.txt	The clerk provided the customer with paperwork for him to fill out.	The clerk provided the customer with paperwork for him to fill out.	El empleado le proporcionó al cliente el papeleo para que él completara.
clerk.customer.1.female.txt	The clerk provided the customer with paperwork for her to fill out.	The clerk provided the customer with paperwork for her to fill out.	El empleado le proporcionó al cliente el papeleo para que ella lo completara.
clerk.customer.1.neutral.txt	The clerk provided the customer with paperwork for them to fill out.	The clerk provided the customer with paperwork for them to fill out.	El empleado proporcionó al cliente el papeleo para que ellos completen.
clerk.someone.1.male.txt	The clerk provided someone with paperwork for him to fill out.	The clerk provided someone with paperwork for him to fill out.	El empleado le proporcionó a alguien el papeleo para que él lo completara.
clerk.someone.1.female.txt	The clerk provided someone with paperwork for her to fill out.	The clerk provided someone with paperwork for her to fill out.	El empleado le proporcionó a alguien el papeleo para que ella lo completara.
clerk.someone.1.neutral.txt	The clerk provided someone with paperwork for them to fill out.	The clerk provided someone with paperwork for them to fill out.	El secretario le proporcionó a alguien el papeleo para que ellos completaran.
clerk.customer.0.male.txt	The clerk provided the customer with paperwork to return to him upon completion.	The clerk provided the customer with paperwork to return to him upon completion.	El empleado le proporcionó al cliente el papeleo para que se lo devolviera al finalizar.
clerk.customer.0.female.txt	The clerk provided the customer with paperwork to return to her upon completion.	The clerk provided the customer with paperwork to return to her upon completion.	El empleado le proporcionó al cliente el papeleo para devolverlo al finalizar.
clerk.customer.0.neutral.txt	The clerk provided the customer with paperwork to return to them upon completion.	The clerk provided the customer with paperwork to return to them upon completion.	El empleado le proporcionó al cliente el papeleo para que se los devolviera al finalizar.
clerk.someone.0.male.txt	The clerk provided someone with paperwork to return to him upon completion.	The clerk provided someone with paperwork to return to him upon completion.	El empleado le proporcionó a alguien el papeleo para que se lo devolviera al finalizar.
clerk.someone.0.female.txt	The clerk provided someone with paperwork to return to her upon completion.	The clerk provided someone with paperwork to return to her upon completion.	El empleado le proporcionó a alguien el papeleo para que se lo devolviera al finalizar.
clerk.someone.0.neutral.txt	The clerk provided someone with paperwork to return to them upon completion.	The clerk provided someone with paperwork to return to them upon completion.	El secretario le proporcionó a alguien el papeleo para que regresara al finalizar.
counselor.patient.0.male.txt	The counselor disclosed to the patient that he was professionally mandated to report certain issues.	The counselor disclosed to the patient that he was professionally mandated to report certain issues.	El consejero le reveló al paciente que se le había encomendado profesionalmente que informara ciertos problemas.
counselor.patient.0.female.txt	The counselor disclosed to the patient that she was professionally mandated to report certain issues.	The counselor disclosed to the patient that she was professionally mandated to report certain issues.	El consejero le reveló a la paciente que ella tenía el mandato profesional de informar ciertos problemas.
counselor.patient.0.neutral.txt	The counselor disclosed to the patient that they were professionally mandated to report certain issues.	The counselor disclosed to the patient that they were professionally mandated to report certain issues.	El consejero reveló al paciente que tenía el mandato profesional de informar ciertos problemas.
counselor.someone.0.male.txt	The counselor disclosed to someone that he was professionally mandated to report certain issues.	The counselor disclosed to someone that he was professionally mandated to report certain issues.	El consejero le reveló a alguien que él tenía el mandato profesional de reportar ciertos asuntos.
counselor.someone.0.female.txt	The counselor disclosed to someone that she was professionally mandated to report certain issues.	The counselor disclosed to someone that she was professionally mandated to report certain issues.	El consejero le reveló a alguien que ella tenía el mandato profesional de reportar ciertos problemas.
counselor.someone.0.neutral.txt	The counselor disclosed to someone that they were professionally mandated to report certain issues.	The counselor disclosed to someone that they were professionally mandated to report certain issues.	El consejero le reveló a alguien que tenía el mandato profesional de informar ciertos asuntos.
counselor.patient.1.male.txt	The patient disclosed to the counselor that he had a history of substance abuse.	The patient disclosed to the counselor that he had a history of substance abuse.	El paciente reveló al consejero que tenía antecedentes de abuso de sustancias.
counselor.patient.1.female.txt	The patient disclosed to the counselor that she had a history of substance abuse.	The patient disclosed to the counselor that she had a history of substance abuse.	La paciente le reveló al consejero que tenía antecedentes de abuso de sustancias.
counselor.patient.1.neutral.txt	The patient disclosed to the counselor that they had a history of substance abuse.	The patient disclosed to the counselor that they had a history of substance abuse.	El paciente reveló al consejero que tenía antecedentes de abuso de sustancias.
counselor.someone.1.male.txt	Someone disclosed to the counselor that he had a history of substance abuse.	Someone disclosed to the counselor that he had a history of substance abuse.	Alguien le reveló al consejero que tenía antecedentes de abuso de sustancias.
counselor.someone.1.female.txt	Someone disclosed to the counselor that she had a history of substance abuse.	Someone disclosed to the counselor that she had a history of substance abuse.	Alguien le reveló al consejero que tenía antecedentes de abuso de sustancias.
counselor.someone.1.neutral.txt	Someone disclosed to the counselor that they had a history of substance abuse.	Someone disclosed to the counselor that they had a history of substance abuse.	Alguien le reveló al consejero que tenía antecedentes de abuso de sustancias.
inspector.homeowner.1.male.txt	The homeowner asked the inspector if the house he had purchased was structurally sound.	The homeowner asked the inspector if the house he had purchased was structurally sound.	El propietario de la vivienda le preguntó al inspector si la casa que había comprado era estructuralmente sólida.
inspector.homeowner.1.female.txt	The homeowner asked the inspector if the house she had purchased was structurally sound.	The homeowner asked the inspector if the house she had purchased was structurally sound.	El dueño de la casa le preguntó al inspector si la casa que había comprado era estructuralmente sólida.
inspector.homeowner.1.neutral.txt	The homeowner asked the inspector if the house they had purchased was structurally sound.	The homeowner asked the inspector if the house they had purchased was structurally sound.	El propietario de la vivienda le preguntó al inspector si la casa que habían comprado era estructuralmente sólida.
inspector.someone.1.male.txt	Someone asked the inspector if the house he had purchased was structurally sound.	Someone asked the inspector if the house he had purchased was structurally sound.	Alguien le preguntó al inspector si la casa que había comprado era estructuralmente sólida.
inspector.someone.1.female.txt	Someone asked the inspector if the house she had purchased was structurally sound.	Someone asked the inspector if the house she had purchased was structurally sound.	Alguien le preguntó al inspector si la casa que había comprado era estructuralmente sólida.
inspector.someone.1.neutral.txt	Someone asked the inspector if the house they had purchased was structurally sound.	Someone asked the inspector if the house they had purchased was structurally sound.	Alguien le preguntó al inspector si la casa que habían comprado era estructuralmente sólida.
inspector.homeowner.0.male.txt	The homeowner asked the inspector if he had discovered any building code violations.	The homeowner asked the inspector if he had discovered any building code violations.	El propietario le preguntó al inspector si había descubierto alguna violación del código de construcción.
inspector.homeowner.0.female.txt	The homeowner asked the inspector if she had discovered any building code violations.	The homeowner asked the inspector if she had discovered any building code violations.	El propietario de la vivienda le preguntó al inspector si había descubierto alguna violación del código de construcción.
inspector.homeowner.0.neutral.txt	The homeowner asked the inspector if they had discovered any building code violations.	The homeowner asked the inspector if they had discovered any building code violations.	El propietario de la vivienda le preguntó al inspector si había descubierto alguna violación del código de construcción.
inspector.someone.0.male.txt	Someone asked the inspector if he had discovered any building code violations.	Someone asked the inspector if he had discovered any building code violations.	Alguien le preguntó al inspector si había descubierto alguna violación del código de construcción.
inspector.someone.0.female.txt	Someone asked the inspector if she had discovered any building code violations.	Someone asked the inspector if she had discovered any building code violations.	Alguien le preguntó al inspector si había descubierto alguna violación del código de construcción.
inspector.someone.0.neutral.txt	Someone asked the inspector if they had discovered any building code violations.	Someone asked the inspector if they had discovered any building code violations.	Alguien le preguntó al inspector si había descubierto alguna violación del código de construcción.
mechanic.customer.1.male.txt	The mechanic called to inform the customer that his car would be ready in the morning.	The mechanic called to inform the customer that his car would be ready in the morning.	El mecánico llamó para informar al cliente que su automóvil estaría listo en la mañana.
mechanic.customer.1.female.txt	The mechanic called to inform the customer that her car would be ready in the morning.	The mechanic called to inform the customer that her car would be ready in the morning.	El mecánico llamó para informar al cliente que su automóvil estaría listo en la mañana.
mechanic.customer.1.neutral.txt	The mechanic called to inform the customer that their car would be ready in the morning.	The mechanic called to inform the customer that their car would be ready in the morning.	El mecánico llamó para informar al cliente que su automóvil estaría listo en la mañana.
mechanic.someone.1.male.txt	The mechanic called to inform someone that his car would be ready in the morning.	The mechanic called to inform someone that his car would be ready in the morning.	El mecánico llamó para informar a alguien que su automóvil estaría listo en la mañana.
mechanic.someone.1.female.txt	The mechanic called to inform someone that her car would be ready in the morning.	The mechanic called to inform someone that her car would be ready in the morning.	El mecánico llamó para informar a alguien que su automóvil estaría listo en la mañana.
mechanic.someone.1.neutral.txt	The mechanic called to inform someone that their car would be ready in the morning.	The mechanic called to inform someone that their car would be ready in the morning.	El mecánico llamó para informar a alguien que su automóvil estaría listo en la mañana.
mechanic.customer.0.male.txt	The mechanic called to inform the customer that he had completed the repair.	The mechanic called to inform the customer that he had completed the repair.	El mecánico llamó para informar al cliente que había completado la reparación.
mechanic.customer.0.female.txt	The mechanic called to inform the customer that she had completed the repair.	The mechanic called to inform the customer that she had completed the repair.	El mecánico llamó para informar al cliente que ella había completado la reparación.
mechanic.customer.0.neutral.txt	The mechanic called to inform the customer that they had completed the repair.	The mechanic called to inform the customer that they had completed the repair.	El mecánico llamó para informar al cliente que había completado la reparación.
mechanic.someone.0.male.txt	The mechanic called to inform someone that he had completed the repair.	The mechanic called to inform someone that he had completed the repair.	El mecánico llamó para informar a alguien que había completado la reparación.
mechanic.someone.0.female.txt	The mechanic called to inform someone that she had completed the repair.	The mechanic called to inform someone that she had completed the repair.	El mecánico llamó para informar a alguien que ella había completado la reparación.
mechanic.someone.0.neutral.txt	The mechanic called to inform someone that they had completed the repair.	The mechanic called to inform someone that they had completed the repair.	El mecánico llamó para informar a alguien que habían completado la reparación.
manager.customer.0.male.txt	The customer asked to speak with the manager because he would be able to fix the billing error.	The customer asked to speak with the manager because he would be able to fix the billing error.	El cliente pidió hablar con el gerente porque podría corregir el error de facturación.
manager.customer.0.female.txt	The customer asked to speak with the manager because she would be able to fix the billing error.	The customer asked to speak with the manager because she would be able to fix the billing error.	El cliente solicitó hablar con el gerente porque podría corregir el error de facturación.
manager.customer.0.neutral.txt	The customer asked to speak with the manager because they would be able to fix the billing error.	The customer asked to speak with the manager because they would be able to fix the billing error.	El cliente pidió hablar con el gerente porque podría corregir el error de facturación.
manager.someone.0.male.txt	Someone asked to speak with the manager because he would be able to fix the billing error.	Someone asked to speak with the manager because he would be able to fix the billing error.	Alguien pidió hablar con el gerente porque podría corregir el error de facturación.
manager.someone.0.female.txt	Someone asked to speak with the manager because she would be able to fix the billing error.	Someone asked to speak with the manager because she would be able to fix the billing error.	Alguien pidió hablar con el gerente porque podría corregir el error de facturación.
manager.someone.0.neutral.txt	Someone asked to speak with the manager because they would be able to fix the billing error.	Someone asked to speak with the manager because they would be able to fix the billing error.	Alguien pidió hablar con el administrador porque podría corregir el error de facturación.
manager.customer.1.male.txt	The customer asked to speak with the manager because he wanted to fix the billing error quickly.	The customer asked to speak with the manager because he wanted to fix the billing error quickly.	El cliente solicitó hablar con el gerente porque quería corregir el error de facturación rápidamente.
manager.customer.1.female.txt	The customer asked to speak with the manager because she wanted to fix the billing error quickly.	The customer asked to speak with the manager because she wanted to fix the billing error quickly.	El cliente pidió hablar con el gerente porque ella quería arreglar el error de facturación rápidamente.
manager.customer.1.neutral.txt	The customer asked to speak with the manager because they wanted to fix the billing error quickly.	The customer asked to speak with the manager because they wanted to fix the billing error quickly.	El cliente solicitó hablar con el gerente porque quería corregir el error de facturación rápidamente.
manager.someone.1.male.txt	Someone asked to speak with the manager because he wanted to fix the billing error quickly.	Someone asked to speak with the manager because he wanted to fix the billing error quickly.	Alguien pidió hablar con el gerente porque quería corregir el error de facturación rápidamente.
manager.someone.1.female.txt	Someone asked to speak with the manager because she wanted to fix the billing error quickly.	Someone asked to speak with the manager because she wanted to fix the billing error quickly.	Alguien le pidió hablar con el gerente porque quería arreglar el error de facturación rápidamente.
manager.someone.1.neutral.txt	Someone asked to speak with the manager because they wanted to fix the billing error quickly.	Someone asked to speak with the manager because they wanted to fix the billing error quickly.	Alguien pidió hablar con el administrador porque quería corregir el error de facturación rápidamente.
therapist.teenager.0.male.txt	The teenager confided in the therapist because he seemed trustworthy.	The teenager confided in the therapist because he seemed trustworthy.	El adolescente confió en el terapeuta porque parecía digno de confianza.
therapist.teenager.0.female.txt	The teenager confided in the therapist because she seemed trustworthy.	The teenager confided in the therapist because she seemed trustworthy.	La adolescente confió en el terapeuta porque parecía digna de confianza.
therapist.teenager.0.neutral.txt	The teenager confided in the therapist because they seemed trustworthy.	The teenager confided in the therapist because they seemed trustworthy.	El adolescente confió en el terapeuta porque parecían dignos de confianza.
therapist.someone.0.male.txt	Someone confided in the therapist because he seemed trustworthy.	Someone confided in the therapist because he seemed trustworthy.	Alguien confió en el terapeuta porque parecía digno de confianza.
therapist.someone.0.female.txt	Someone confided in the therapist because she seemed trustworthy.	Someone confided in the therapist because she seemed trustworthy.	Alguien confió en el terapeuta porque parecía digna de confianza.
therapist.someone.0.neutral.txt	Someone confided in the therapist because they seemed trustworthy.	Someone confided in the therapist because they seemed trustworthy.	Alguien confió en el terapeuta porque parecían dignos de confianza.
therapist.teenager.1.male.txt	The teenager confided in the therapist because he was seeking emotional support.	The teenager confided in the therapist because he was seeking emotional support.	El adolescente confió en el terapeuta porque estaba buscando apoyo emocional.
therapist.teenager.1.female.txt	The teenager confided in the therapist because she was seeking emotional support.	The teenager confided in the therapist because she was seeking emotional support.	La adolescente confió en el terapeuta porque estaba buscando apoyo emocional.
therapist.teenager.1.neutral.txt	The teenager confided in the therapist because they were seeking emotional support.	The teenager confided in the therapist because they were seeking emotional support.	El adolescente confió en el terapeuta porque buscaban apoyo emocional.
therapist.someone.1.male.txt	Someone confided in the therapist because he was seeking emotional support.	Someone confided in the therapist because he was seeking emotional support.	Alguien confió en el terapeuta porque estaba buscando apoyo emocional.
therapist.someone.1.female.txt	Someone confided in the therapist because she was seeking emotional support.	Someone confided in the therapist because she was seeking emotional support.	Alguien confió en el terapeuta porque buscaba apoyo emocional.
therapist.someone.1.neutral.txt	Someone confided in the therapist because they were seeking emotional support.	Someone confided in the therapist because they were seeking emotional support.	Alguien confió en el terapeuta porque buscaba apoyo emocional.
administrator.undergraduate.1.male.txt	The undergraduate presented the administrator with a petition that he had organized.	The undergraduate presented the administrator with a petition that he had organized.	El estudiante presentó al administrador una petición que él había organizado.
administrator.undergraduate.1.female.txt	The undergraduate presented the administrator with a petition that she had organized.	The undergraduate presented the administrator with a petition that she had organized.	El estudiante presentó a la administradora una petición que ella había organizado.
administrator.undergraduate.1.neutral.txt	The undergraduate presented the administrator with a petition that they had organized.	The undergraduate presented the administrator with a petition that they had organized.	El estudiante presentó al administrador una petición que habían organizado.
administrator.someone.1.male.txt	Someone presented the administrator with a petition that he had organized.	Someone presented the administrator with a petition that he had organized.	Alguien le presentó al administrador una petición que él había organizado.
administrator.someone.1.female.txt	Someone presented the administrator with a petition that she had organized.	Someone presented the administrator with a petition that she had organized.	Alguien le presentó al administrador una petición que ella había organizado.
administrator.someone.1.neutral.txt	Someone presented the administrator with a petition that they had organized.	Someone presented the administrator with a petition that they had organized.	Alguien le presentó al administrador una petición que habían organizado.
administrator.undergraduate.0.male.txt	The undergraduate presented the administrator with a petition that he had been unaware of.	The undergraduate presented the administrator with a petition that he had been unaware of.	El estudiante presentó al administrador una petición de la que él no había tenido conocimiento.
