Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
1433,the sheriff,فتحت مدبرة المنزل الباب للمأمور وانتظرتها للمرور.,y,m,pronoun inconsistency
309,the cashier,مدير الشرطة استجوب أمين الصندوق لأنه أخذ المال.,y,m,
3036,the designer,ناقش المدير مع المصمم لفترة طويلة وحاول إقناعها ببيع هذه الفكرة.,y,m,pronoun inconsistency
903,the librarian,المدير التنفيذي يحدق في أمين المكتبة وطلب منه العشاء.,y,m,
3533,someone,و استجوب المحامي شخصا ما حتى انكسر تحت الضغط.,y,m,
686,The developer,اشتكى المطور من الممرضة لأنها تلقت خدمة سيئة.,y,m,pronoun inconsistency
2911,the farmer,المنظف فهم المزارع وأرسلت له بعض المال.,y,m,pronoun inconsistency
653,the baker,البواب لا يحب الخباز لأنه دائما يفسد المطبخ.,y,m,
107,the accountant,الرئيس التنفيذي اشترى المحاسب سيارة لأنه يحتاج واحدة.,y,m,
3189,accountant,التقى شخص ما مع المحاسب لمعرفة ما إذا كان يمكن أن يساعد في إعداد الضرائب.,y,m,
708,The mover,المحرك ينتظر الممرضة لأنها كسرت ذراعها.,y,m,pronoun inconsistency
613,the hairdresser,وقال ميكانيكي لتصفيف الشعر أنه جعل حلاقة لطيفة.,n,-,"the sentence is talking about ""haircut"" not ""hairdresser"""
824,the developer,المدقق قبض على المطور الغش وأبلغ عنها.,y,m,
327,the designer,اشتكى شريف إلى المصمم لأنه لم يحقق التوقعات.,y,m,
1550,the attendant,ولم يرغب الرئيس أبدا في مساعدة المرافق ورفض طلبه.,y,m,
812,the housekeeper,أعطى المزارع مدبرة المنزل تفاحة وتمنى له يوم جيد.,y,m,pronoun inconsistency
526,The sheriff,المأمور طلب من موظفة الإستقبال الطريق إلى المرحاض لأنها لم تكن لديها أدنى فكرة,y,m,pronoun inconsistency
2011,the editor,ذهبت المحرك إلى منزل المحرر لأنها كانت في حاجة إلى المحرك.,y,n,pronoun inconsistency
3414,physician,وحذر الطبيب المريض من أنه لا يمكن أن يصف بأمان جرعة أعلى.,y,m,
2930,the cook,زار الكاتب الطباخ لتعلم الطبخ منه.,y,m,
2586,the carpenter,فحصت الممرضة النجار وأرسلته إلى المستشفى.,y,m,
2061,the cleaner,المأمور أخبر المنظف أنه طلب منها الإجابة على بعض الأسئلة,y,m,pronoun inconsistency
1865,the baker,البائع طلب من الخباز أن يتوقف عن بيع الخبز لأنها كانت تفسد العلامة التجارية.,y,m,pronoun inconsistency
2554,the hairdresser,انهار عامل البناء أمام مصفف الشعر وتوسل لها أن تتوقف.,y,m,pronoun inconsistency
1496,the attendant,كان المشرف مشاجرة مع صاحب الغرفة وقرر طرده.,y,m,
2272,The mechanic,تلقى الميكانيكي هدية من الخباز لأنه ساعد في إصلاح الفرن.,y,m,
2947,the auditor,ابتسم عامل البناء إلى مراجع الحسابات وسلمها بعض الماء.,y,m,pronoun inconsistency
2794,the carpenter,اتصل المنظف النجار وطلب منه إصلاح خزانة خشبية.,y,m,
1947,the assistant,طلب المشرف من المساعد الحصول على موافقتها.,y,m,pronoun inconsistency
1939,the editor,اتصلت المطور بالمحرر لأنها تحتاج إلى توضيحات إضافية من أجل تحرير الكتاب.,y,m,
1545,the CEO,المعلم لا يمكن أن يقف الرئيس التنفيذي وفشل عمدا ابنها.,y,m,
3183,someone,شخص ما قابل المحاسب للحصول على مساعدة في تقديم ضرائبه.,y,m,"""someone"" is gender neutral, but you can tell from the pronouns"
1602,The physician,الطبيب أخبر الخباز أنه حاول الأفضل.,y,m,
2865,the cleaner,سأل المحامي المنظف بعض الأسئلة ثم قرر مساعدتها دون أجر.,y,m,pronoun inconsistency
2544,the tailor,عرض عامل البناء لبناء خياط منزل ثم عانقها.,y,m,pronoun inconsistency
191,the housekeeper,السائق نقل مدبرة المنزل إلى العمل لأنه كان جميلاً.,y,f,pronoun inconsistency
2808,the analyst,خدم المصاحب المحلل وجعله يشعر بالترحيب.,y,m,
1456,the cleaner,فتح الميكانيكي الباب للنظافة وقاده إلى الغرفة.,y,f,pronoun inconsistency
2837,the teacher,عرض السائق ركوب للمعلم والتقطت لها في الوقت المحدد.,y,m,pronoun inconsistency
3318,administrator,و قدم الطالب الجامعي إلى المدير التماسا لم يكن على علم به.,y,m,
2582,the secretary,حفر العامل حفرة للسكرتيرة وطلب منها أن تدفع.,y,f,
39,The assistant,اشترى المساعد جهاز كمبيوتر جديد بسبب توصية من البائع ، لأنه أراد زيادة الإنتاجية.,y,m,
1527,the analyst,تم دفع مدبرة المنزل من قبل المحلل وقامت بالأعمال المنزلية لها.,y,m,pronoun inconsistency
393,the librarian,وأعاد الرئيس كتابا إلى أمين المكتبة لكنه اشتكى من التأخر.,y,m,
3440,patient,أبلغت الممرضة المريض أن دمائهم سيتم سحبها في ساعة واحدة.,y,m,pronoun inconsistency
2191,the janitor,مدبرة المنزل أظهرت بواب الاتجاه لأنه كان جديدا.,y,m,
1564,the counselor,شاهد الشريف فيديو للمستشار وذهب لمقابلته.,y,m,
1359,the secretary,واجتمع المحامي مع السكرتير وطلب منه إعداد الوثائق.,y,m,
