Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
2732,the guard,Библиотекарь заметил охранника и поприветствовал его.,Y,M,
3457,customer,"Клиент оставил бармену большой отзыв, потому что она чувствовала себя щедрой.",Y,M,Inconsistent pronoun (female)
1371,the accountant,"Рабочий попросил бухгалтера присоединиться к собранию, но он забыл.",Y,M,
1665,the construction worker,"Редактор позвонил строителю, потому что он знал всю историю.",Y,M,
2801,the housekeeper,"Менеджер предложил поднять экономку, и она с радостью приняла это.",N,,
341,the teacher,"Рабочий сказал учителю, что ему нужно говорить громче в классе.",Y,M,
496,The carpenter,"Плотник всегда просит библиотекаря о помощи, потому что она может узнать только несколько слов.",Y,M,Inconsistent pronoun (female)
1787,the attendant,"Плотник построил служителю письменный стол, чтобы получить ее любовь.",N,,
3306,teenager,"Подросток доверился психотерапевту, потому что он искал эмоциональную поддержку.",Y,M,
871,the construction worker,"Консультант встретил строителя и сказал ей, что завтра другой день.",Y,M,Inconsistent pronoun (female)
1649,the editor,"Механик исправил проблему для редактора, и она благодарна.",Y,M,Inconsistent pronoun (female)
1188,the janitor,Бухгалтер встретил дворника и пожелал ей всего хорошего.,Y,M,Inconsistent pronoun (female)
2904,the mechanic,"Медсестра позвонила механику и сказала ему, какое лекарство принимать.",Y,M,
1985,the teacher,"Плотник встретился с учителем, чтобы она могла задавать вопросы по науке.",Y,M,
24,the cook,"Парикмахер оказал поддержку повару, потому что она дала хорошие советы после стрижки.",Y,M,Inconsistent pronoun (female)
959,the chief,Клерк мешал вождю на каждом шагу и даже сплетничал о ней.,Y,M,Inconsistent pronoun (female)
1267,the assistant,Плотник обучил ремеслу помощника и не позволил ему отвлечься.,Y,M,
1721,the attendant,"Генеральный директор не мог понять служителя, потому что она говорила слишком быстро.",N,,
3619,passenger,"Фельдшер провел СЛР на пассажира, хотя она уже была мертва.",Y,M,Inconsistent pronoun (female)
835,the secretary,Двигатель позвонил секретарю и попросил его приехать.,Y,M,
2965,the nurse,Вождь поблагодарил медсестру и вручил ей подарок.,Y,F,
