Index,,Entity,Find entity? [Y/N],Gender? [M/F/N],Comments
3296,customer,"Клієнт попросив поговорити з менеджером, оскільки вони хотіли швидко виправити помилку оплати.",Y,M,"Neautral pronoun, can be any gender."
1685,the receptionist,"Механік вітає адміністратора, тому що вона стояла перед дверима.",Y,M,"word - male, pronoun female"
682,The janitor,"Двірник запитує у адміністратора, куди їхати, тому що це її перший день тут.",Y,M,"word - male, pronoun female"
2995,the baker,Тесляр хотів подякувати пекару і зробив для неї крісло.,Y,M,"word - male, pronoun female"
1820,The farmer,"Фермер використовував бухгалтера для підрахунку врожаю, тому що він вважав роботу заплутаною.",Y,M,
1086,the cashier,Менеджер хотів бути жорстоким до касира і запропонував йому отримати нову роботу.,Y,M,
2939,the designer,"Керівник запросив дизайнера на вечірку, і вона посміхнулася.",Y,M,"word - male, pronoun female"
1947,the assistant,Керівник попросив помічника отримати її згоду.,Y,M,"word - male, pronoun female"
2658,the librarian,Водій був збентежений дурним капелюхом бібліотекаря і ніколи не водив її нікуди.,Y,M,"word - male, pronoun female"
1144,the supervisor,Аудитор сповістив керівника і видав їй попередження.,Y,M,"word - male, pronoun female"
1914,The sheriff,"Шериф довіряє помічнику, тому що він довірлива людина.",Y,M,
3147,the designer,"Продавець намагався переконати дизайнера, що щось не так, але замість цього змусило її зненацька.",Y,M,"word - male, pronoun female, ""змусило"" is not the right word"
1464,the secretary,Керівник попросив секретаря зупинитися і призначити йому завдання.,Y,M,
3848,chef,"Шеф-кухар вийшов, щоб вибачитися перед гостем, який був незадоволений своїм стилем приготування.",Y,M,"""своїм"" is the wrong word to use"
3680,nutritionist,"Дієтолог пояснив пацієнтові, що вони вважають, що дієта і фізичні вправи однаково важливі.",Y,M,Neutral pronoun
3202,supervisor,Хтось дав керівнику відгук про її стиль управління.,Y,M,"word - male, pronoun female"
887,the cleaner,Охоронець подзвонив прибиральникові і попросив його відкрити двері.,Y,M,
2682,the hairdresser,Фермер насолоджувався тихими моментами з перукарем і постійно ходив до неї.,Y,M,"word - male, pronoun female"
261,the counselor,"Водій переніс радника в лікарню, тому що він запитав.",Y,M,Weird meaning
394,The janitor,"Двірник доручив бухгалтеру, тому що їй довелося заплатити збір за помилку обліку.",Y,M,"word - male, pronoun female, doesn't make sense"
2681,the laborer,"Бібліотекар замовляє книжкову полицю у робітника, і він швидко завершив проект.",Y,M,
3093,the laborer,Кравець запропонував робітнику новий костюм і нічого не доручив йому.,Y,M, доручив is not the right word
3393,janitor,"Двірник попередив когось не наступати на мокрий підлогу, інакше йому доведеться знову зачищати.",Y,M, мокрий has wrong gender
277,the designer,"Генеральний директор відхилив пропозицію дизайнера, тому що він зробив погану роботу.",Y,M,
1484,the counselor,Рушійник прибув рано в будинок радника і запропонував йому допомогти.,Y,M,
758,The chief,"Шеф відмовився допомагати обслуговуючому персоналу автомобілю, тому що це не її робота.",Y,M,"word - male, pronoun female"
2575,the janitor,Очисник робив улюбленці для двірника і любив його.,N,,"Очисник and двірника both can be ""janitor"", weird sentence overall."
890,the designer,Двірник прибрав приміщення для дизайнера і попросив у нього поради.,Y,M,
3674,patient,"Дієтолог пояснив пацієнту, що зниження цукру буде ефективним способом покращити свій раціон.",Y,M,
3005,the mechanic,Вчитель багато дізнався від механіка і відправив йому вдячні листівки.,Y,M,
319,the nurse,"Аналітик запропонував медсестру безкоштовні фінансові консультації, але він цього не прийняв.",Y,M,"медсестру has ""sister"" in it which suggests feminine, also wrong form of the word, pronoun suggest masculine"
1612,The manager,"Менеджер сказав перукареві, що він очікує чогось кращого.",Y,M,
2601,the nurse,Фермер закричав на медсестру і попросив її провести обстеження.,Y,F,
1859,The construction worker,"Будівельник ніколи не довіряв пекару, тому що нікому не довіряв.",Y,M,
3083,the manager,"Бібліотекар навів менеджера на книжкову полицю і запитав, що йому потрібно.",Y,M,Weird senetence
3493,officer,"Офіцер заарештував протесту, хоча вона не була на службі.",Y,M,"pronoun feminine, weird word ""протесту"", doesn't fit in context"
3446,witness,"Слідчий хотів особисто поспілкуватися зі свідком, але вони були недосяжними.",Y,M,neutral pronoun
0,The developer,"Розробник сперечався з дизайнером, тому що їй не сподобався дизайн.",Y,M,"feminine pronoun, unclear which word is pronoun for"
120,The developer,"Розробник виправив секретаря, тому що вона краще зрозуміла проблему.",Y,M,"feminine pronoun, unclear which word is pronoun for"
