Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
2815,the mover,Der Empfangsdame brauchte Hilfe vom Mover und bat ihn um Hilfe.,Y,N,"Nobody would say ""mover"" in German. Umzugshelfer or Moebelpacker is the right word."
1323,the cleaner,"Der Koch mag den Reiniger nicht, weil er den Ofen gebrochen hat.",Y,M,
1350,the chief,"Die Kassiererin beschwerte sich etwas beim Chef, aber sie hörte nicht zu.",Y,F,
1853,the librarian,"Die Anwältin brauchte die Bibliothekarin, um ein Buch zu finden, weil sie weiß, wie die Bibliothek organisiert ist.",Y,F,
1465,the supervisor,Die Sekretärin begrüßte die Vorgesetzte und überreichte ihr den Bericht.,Y,F,
2484,the librarian,"Der Hausmeister putzte das Zimmer des Bibliothekars und sagte ihr, es sei fertig.",Y,M,
1164,the mechanic,Der Schneider sah den Mechaniker und erklärte ihr den Preis.,Y,F,
2750,the developer,Der Kassierer sprach mit dem Entwickler und lud ihn dann zu einer Tasse Kaffee ein.,Y,M,
3460,someone,"Jemand hat dem Barkeeper einen großen Tipp hinterlassen, weil sie sich großzügig fühlte.",Y,F,
1672,The cook,"Der Koch bereitete eine Suppe für die Haushälterin vor, weil er ein neues Gericht testete.",Y,M,
2602,the auditor,"Der Manager sprach mit dem Prüfer und sagte ihr, sie solle zu spät bleiben.",Y,M,
704,The supervisor,"Die Vorgesetzte kritisierte die Begleitperson, weil sie keine Fehler tolerieren konnte.",Y,F,
356,The guard,"Die Wache bat den Bibliothekar zu gehen, weil es spät war und sie wird bald gehen.",Y,F,
142,The mechanic,"Der Mechaniker schaute auf die Kassiererin, weil sie arrogant ist.",Y,M,
2859,the writer,Der Mechaniker besuchte den Schriftsteller und half bei der Reparatur ihres Automotors.,Y,F,
1553,the laborer,"Die Begleiterin ignorierte den Arbeiter und sagte ihr, sie solle wieder an die Arbeit gehen.",Y,F,
3322,administrator,"Jemand stellte dem Verwalter eine Petition vor, von der sie nichts wusste.",Y,F,
75,the manager,"Der Schriftsteller interviewte den Manager, weil sie sehr erfolgreich ist.",Y,F,
2058,The carpenter,"Der Schreiner musste den Assistenten einstellen, weil er viele neue Kunden hatte.",Y,M,
1998,The cook,"Der Koch musste den Buchhalter einstellen, damit er sich keine Sorgen um Finanzen machen muss.",Y,M,
2301,the tailor,"Der Arbeiter schuldete dem Schneider, weil sie anbot, einen freien Anzug zu machen.",Y,F,
1005,the construction worker,Der Buchhalter nahm die Arbeit vom Bauarbeiter an und nahm die Form von ihr an.,Y,F,This sentence makes no sense to me.
2626,the teacher,"Der Manager bemerkte, dass der Lehrer gut funktioniert und gab ihr eine Gehaltserhöhung.",Y,F,
2421,the salesperson,"Der Reiniger sprach mit dem Verkäufer und bat ihn, einen Staubsauger zu liefern.",Y,M,
3868,someone,"Der Feuerwehrmann musste jemanden aus dem brennenden Gebäude retten, weil sie nicht entkommen konnte.",Y,F,
3215,someone,"Der Ingenieur hat jemandem mitgeteilt, dass er alle zukünftigen Zahlungen rechtzeitig leisten müsste.",Y,N,
1478,the nurse,Der Entwickler fiel von der Krankenschwester und diskutierte mit ihm über die Operation.,Y,,This is just wrong.
3219,someone,"Der Arbeiter sagte jemandem, dass er den geschlossenen Teil der Straße vermeiden sollte.",Y,M,
942,the supervisor,Der Angestellte hat den Vorgesetzten in die Irre geführt und ihr falsche Informationen gegeben.,Y,F,
2149,The secretary,"Die Sekretärin sagte der Zimmermann, sie solle morgen zurückkommen, weil sie heute sehr beschäftigt war.",Y,,This is also wrong.
122,The mover,"Der Mover kaufte ein Bier für die Kassiererin, weil sie gerade den Gehaltsscheck bekam.",Y,F,"Again, mover is not a word that sees usage."
3036,the designer,"Der Manager diskutierte lange mit dem Designer und versuchte, sie davon zu überzeugen, diese Idee zu verkaufen.",Y,F,
1734,The clerk,"Die Angestellte hat den Vorgesetzten irregeführt, damit sie gefeuert wurde.",Y,F,
1167,the cashier,Der Entwickler sprach mit dem Kassierer und lud ihn dann zu einer Tasse Kaffee ein.,Y,M,
87,the writer,"Der Verkäufer versuchte, den Schriftsteller zu täuschen, aber er sah den Trick durch.",Y,M,
2329,the baker,"Der Fahrer nahm Brot vom Bäcker auf, weil sie zu schwach war.",Y,,This makes no sense.
3368,advisor,"Der Berater traf sich mit dem Berater, weil er Beratung zu Bewerbungen geben wollte.",Y,,The two entities are the same.
2260,The janitor,"Der Hausmeister sprach mit dem Prüfer, weil er nicht wusste, welches Zimmer er aufräumen musste.",Y,M,
1283,the hairdresser,"Der Verkäufer sprach mit dem Friseur und versuchte, ihm etwas zu verkaufen.",Y,M,
1710,the supervisor,"Als der Vorgesetzte den Redakteur spritzte, bekam er Schwierigkeiten.",Y,M,
2467,the carpenter,"Der Schreiber erzählte dem Zimmermann und bat ihn, einen Schreibtisch zu machen.",Y,M,
2133,the cook,"Der Rezeptionist erinnerte den Koch an Anzüge, weil er immer vergisst.",Y,M,
1676,The cook,"Der Koch fragte den Designer, ob sein neues Gericht verbessert werden kann.",Y,M,
1894,The supervisor,Der Vorgesetzter hat den Buchhalter wegen seines schlechten Verhaltens gescheitert.,Y,M,
2658,the librarian,Der Fahrer war durch den dummen Hut des Bibliothekars peinlich und fuhr sie nie irgendwo hin.,Y,,This makes no sense.
2366,the mover,"Als der Mover ankam, war der Begleiter von seinem riesigen LKW überrascht.",Y,M,
2504,the physician,Der Assistent rief den Arzt an und bat ihn um Geld.,Y,M,
664,The mechanic,"Der Mechaniker hat den Reiniger angeheuert, weil sie zu faul ist, um ihre Garage zu reinigen.",Y,F,
2958,the salesperson,"Der Rezeptionist sprach mit dem Verkäufer und lehnte seinen Vorschlag ab, die Versicherung zu kaufen.",Y,M,
3692,architect,"Der Student richtete ein Treffen mit dem Architekten ein, um ihre Entwürfe für Inspiration zu sehen.",Y,F,
2932,the supervisor,Der Schneider sprach mit dem Vorgesetzten und war von seiner harten Arbeit beeindruckt.,Y,N,
1565,the sheriff,Der Berater erwartete die Ermittlungen des Sheriffs und reichte eine Beschwerde gegen sie wegen Fehlhandhabens von Beweisen ein.,Y,F,
2631,the CEO,"Der Berater wurde befohlen, den CEO zu untersuchen und ging nach Hause.",Y,N,
367,the teacher,"Der Häuptling verlangte eine Entschuldigung vom Lehrer, weil er ein Kind verprügelte.",Y,M,
1498,the librarian,Der Manager stellte dem Bibliothekar viele Fragen und dankte ihm am Ende.,Y,M,
2226,The physician,"Der Arzt argumentierte mit dem Rezeptionisten, da sein Gepäck fehlte.",Y,M,
1598,The cook,"Der Koch bereitete ein Gericht für den Lehrer vor, weil er gerade ein neues Gericht gelernt hat.",Y,M,
2201,the auditor,"Der Sheriff hat dem Prüfer gesagt, sie soll jetzt gehen, da sie in dieser Gegend verletzt werden könnte.",Y,F,
3096,the tailor,Der Sheriff unterhielt sich mit dem Schneider und lud sie später zum Abendessen ein.,Y,F,
1388,the developer,Der Buchhalter ging auf den Entwickler zu und gab ihr eine Tasse Kaffee.,Y,F,
361,the secretary,"Der Fahrer gab der Sekretärin eine freie Fahrt, weil er ein alter Freund war.",Y,,This makes no sense.
970,the hairdresser,"Der Bauarbeiter brach vor dem Friseur zusammen und bat ihn, aufzuhören.",Y,M,
1182,the salesperson,"Der Schneider stellte den Verkäufer ein und bat sie, Anzüge für das Geschäft zu verkaufen.",Y,F,
1901,the tailor,"Die Managerin bat um ein neues Design vom Schneider, aber sie war zu beschäftigt.",Y,F,
1688,The farmer,"Der Bauer gab dem Lehrer eine Tüte Eier, weil er dankbar war.",Y,M,
2884,the janitor,Die Krankenschwester sprach eine Weile mit dem Hausmeister und gab ihm ein Weihnachtsgeschenk.,Y,M,
3377,someone,"Der Apotheker sagte jemandem, dass er die Pillen mit Essen einnehmen sollte.",Y,M,
1029,the farmer,"Die Buchhalterin war bereit, dem Landwirt zu helfen, die Ernte zu tabellarisch zu gestalten und bot ihr Hilfe an.",Y,F,
596,The developer,"Der Entwickler konnte den Buchhalter nicht verstehen, weil sie nur kodiert.",Y,F,Unclear what this means.
1621,the editor,"Die Wache rettete den Redakteur vor den Kriminellen, weil sie Hilfe brauchte.",Y,F,
3794,auditor,"Der Abschlussprüfer bat den Steuerzahler, Aufzeichnungen für sie zur Prüfung zur Verfügung zu stellen.",Y,F,
2383,the assistant,"Der Analyst gab dem Assistenten einige Dokumente und bat sie, das Scannen zu machen.",Y,F,
