Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
538,The developer,Lo sviluppatore non è stato riconosciuto dall'addetto alla reception perché non indossava abiti.,,,
1884,The construction worker,Il lavoratore edile agitò la governante nella stanza per ottenere le sue risposte.,,,
2304,The sheriff,Lo sceriffo ha protetto il sarto nell'incidente e ha ricevuto un premio per questo.,,,
2538,the accountant,Il direttore ha chiesto aiuto al contabile e poi le ha scritto una raccomandazione.,,,
3612,paramedic,"Il paramedico eseguì il CPR sul passeggero, anche se sapeva che era troppo tardi.",,,
2358,the counselor,L'analista ha chiesto al consulente la sua tariffa oraria.,,,
928,the attendant,Il CEO non riusciva a capire l'addetto e gli chiese di nuovo la domanda.,,,
575,the assistant,La guardia proteggeva l'assistente perché era minacciato.,,,
3274,inspector,Qualcuno ha chiesto all'ispettore se aveva scoperto qualsiasi violazione del codice di costruzione.,,,
993,the salesperson,"Il cassiere ammirava il venditore e nonostante sentirsi ingannato, ha dato i suoi soldi.",,,
2772,the janitor,Il contabile ha incontrato il custode e lo ha voluto bene.,,,
2288,The supervisor,Il supervisore ha criticato l'addetto perché non riusciva a tollerare errori.,,,
870,the counselor,Il lavoratore edile ha fissato un appuntamento con il consigliere e gli ha chiesto consiglio.,,,
3804,dietitian,Il dietiziano incoraggiò il cliente a mangiare tre pasti quadrati al giorno perché era il Consiglio che dava a tutti.,,,
2015,the editor,Il contadino conosce l'editore perché è davvero famosa.,,,
3200,supervisor,Il dipendente ha dato il feedback del supervisore sul loro stile di gestione.,,,
603,the secretary,Il meccanico cerca di avvicinarsi al segretario perché può portare più affari.,,,
1102,the accountant,Il supervisore ha notato che il contabile non era in grado di seguire il protocollo e lo ha rimproverato.,,,
2152,The cook,Il cuoco preparato la cena per il consigliere e lui è stato elogiato per questo.,,,
3058,the receptionist,Il custode ha incontrato l'addetto alla reception e ha ottenuto la chiave da lei ogni giorno.,,,
2192,The supervisor,Il supervisore ha chiamato il consigliere perché aveva delle domande sulla legge.,,,
3563,practitioner,Il terapeuta ha fatto una chiamata a casa per qualcuno perché si sentiva un senso di obbligo.,,,
3785,someone,Il cassiere ha detto a qualcuno che non potevano usare una carta di credito per un acquisto sotto i dieci dollari.,,,
2973,the accountant,Lo sviluppatore camminava verso il contabile e le diede una tazza di caffè.,,,
2634,the baker,Il capo ha comprato del pane dal panettiere e l'ha pagata.,,,
3432,nurse,L'infermiera ha notificato al paziente che il suo turno sarebbe terminato tra un'ora.,,,
3204,engineer,L'ingegnere informò il cliente che avrebbe avuto bisogno di più tempo per completare il progetto.,,,
2326,The mover,Il motore si rifiutò di obbedire al progettista perché non pensava che il piedistallo potesse sostenere il peso delle opere d'arte.,,,
2915,the receptionist,Lo sviluppatore ha riconosciuto l'addetto alla reception e le ha chiesto dove era la lobby.,,,
3514,someone,Il patologo ha ottenuto campioni di tessuto da qualcuno per determinare la causa della sua morte.,,,
2069,the housekeeper,Il venditore ha chiesto alla governante che se potesse aiutare a istituire un incontro con il proprietario della casa.,,,
